id,occured_at,city,insee_com,lat,long,lum,atm,col
202400000006,2024-03-25 04:00:00,Marseille 13,13215,43.34147000,5.37306000,5,1,3
202400000007,2024-03-24 02:45:00,Marseille 13,13201,43.29253000,5.37197000,5,1,3
202400000011,2024-03-24 19:35:00,Paris 75,75112,48.84046000,2.41368600,2,1,2
202400000012,2024-03-24 01:20:00,Paris 75,75117,48.89503100,2.30658900,3,1,7
202400000013,2024-03-25 17:40:00,Paris 75,75119,48.89598900,2.37408400,1,1,6
202400000014,2024-03-25 15:10:00,Paris 75,75119,48.88758800,2.38035300,1,1,3
202400000015,2024-03-25 09:00:00,Paris 75,75119,48.89577200,2.38361200,1,1,1
202400000016,2024-03-25 13:40:00,Paris 75,75118,48.88946540,2.34958917,1,1,3
202400000017,2024-03-25 09:00:00,Paris 75,75117,48.88446200,2.29447800,1,1,6
202400000018,2024-03-25 09:25:00,Paris 75,75115,48.83652100,2.27664900,1,1,3
202400000019,2024-03-24 13:45:00,Paris 75,75102,48.86653800,2.35114500,1,1,6
202400000031,2024-09-19 20:45:00,Rennes,35238,48.11337000, -1.64760000,5,1,3
202400000044,2024-05-02 08:20:00,Marseille 13,13215,43.38322159,5.35134399,1,2,3
202400000081,2024-05-01 18:05:00,Lyon 69,69382,45.75779000,4.83500000,1,1,6
202400000110,2024-03-24 19:00:00,Lyon 69,69387,45.74826000,4.84363000,5,1,3
202400000111,2024-03-24 17:20:00,Lyon 69,69383,45.75256000,4.88829000,1,1,3
202400000114,2024-03-24 18:30:00,Lyon 69,69382,45.74846000,4.83158000,1,1,3
202400000124,2024-03-24 17:45:00,Lille,59350,50.62835000,3.10533000,1,1,3
202400000133,2024-03-24 19:10:00,Rennes,35238,48.11918363, -1.67516291,1,1,6
202400000143,2024-03-24 15:05:00,Paris 75,75112,48.82714100,2.39100300,1,1,4
202400000144,2024-03-24 15:00:00,Paris 75,75106,48.85208700,2.34031800,1,1,3
202400000145,2024-03-23 21:00:00,Paris 75,75116,48.87064600,2.25936300,5,2,2
202400000146,2024-03-24 14:10:00,Paris 75,75114,48.81994600,2.32547600,1,1,3
202400000147,2024-03-24 15:30:00,Paris 75,75113,48.82635600,2.38696900,1,1,6
202400000148,2024-03-24 16:44:00,Paris 75,75112,48.83860800,2.38127900,1,1,6
202400000149,2024-03-24 17:15:00,Paris 75,75110,48.87583000,2.35650000,1,1,7
202400000150,2024-03-24 01:45:00,Paris 75,75117,48.88373300,2.29531500,5,1,3
202400000191,2024-08-13 02:05:00,Lyon 69,69382,45.74693000,4.82889000,5,1,6
202400000223,2024-03-23 23:42:00,Marseille 13,13202,43.29209000,5.36580000,5,1,7
202400000237,2024-03-22 20:46:00,Paris 75,75116,48.83500600,2.26134700,5,1,2
202400000282,2024-09-19 19:00:00,Marseille 13,13213,43.32944000,5.40691000,2,1,3
202400000283,2024-09-18 22:47:00,Marseille 13,13216,43.35363000,5.32885000,5,1,2
202400000293,2024-09-19 17:50:00,Paris 75,75112,48.82758100,2.39214500,1,1,2
202400000294,2024-09-18 18:30:00,Paris 75,75115,48.83153400,2.28296200,1,1,3
202400000295,2024-09-18 17:20:00,Paris 75,75112,48.82674789,2.39000380,1,1,5
202400000296,2024-09-18 16:30:00,Paris 75,75114,48.82342500,2.31027400,1,1,2
202400000297,2024-09-19 18:50:00,Paris 75,75105,48.84229800,2.36022200,2,1,7
202400000299,2024-09-19 17:15:00,Paris 75,75120,48.86495900,2.39727300,1,1,3
202400000301,2024-09-18 16:15:00,Paris 75,75120,48.86136600,2.40937200,1,1,6
202400000302,2024-09-19 13:41:00,Paris 75,75119,48.90016100,2.38856200,1,1,3
202400000304,2024-09-19 06:20:00,Paris 75,75119,48.89523500,2.39417000,5,1,2
202400000307,2024-09-18 22:10:00,Paris 75,75119,48.89822000,2.38601500,5,1,3
202400000309,2024-09-19 20:50:00,Paris 75,75118,48.88932600,2.34467400,5,1,3
202400000311,2024-09-19 18:55:00,Paris 75,75117,48.88924400,2.30743900,1,1,1
202400000313,2024-09-19 08:00:00,Paris 75,75116,48.86964800,2.28505400,1,1,2
202400000314,2024-09-19 18:15:00,Paris 75,75113,48.83559600,2.36171400,1,1,6
202400000316,2024-09-19 08:29:00,Paris 75,75113,48.81802700,2.36036500,1,1,3
202400000318,2024-09-19 16:45:00,Paris 75,75110,48.87553000,2.35671900,1,1,7
202400000320,2024-09-19 09:16:00,Paris 75,75107,48.85410700,2.30639600,1,7,3
202400000321,2024-09-19 19:40:00,Paris 75,75103,48.86374900,2.35487800,2,1,3
202400000322,2024-02-12 20:50:00,Lyon 69,69383,45.74889000,4.86813000,3,1,3
202400000323,2024-02-12 19:50:00,Lyon 69,69388,45.74080744,4.86809596,1,1,6
202400000324,2024-09-19 09:50:00,Paris 75,75102,48.86954100,2.33678300,1,1,6
202400000327,2024-02-12 07:41:00,Lyon 69,69382,45.75010000,4.82740000,1,1,7
202400000329,2024-02-12 08:05:00,Lyon 69,69384,45.77444000,4.81265000,1,1,6
202400000411,2024-09-19 09:05:00,Marseille 13,13210,43.28616401,5.42968295,1,1,2
202400000441,2024-09-19 15:30:00,Paris 75,75112,48.81812100,2.45636900,1,1,4
202400000460,2024-07-09 18:45:00,Paris 75,75107,48.85613500,2.31508000,1,1,6
202400000480,2024-05-01 21:20:00,Lille,59350,50.64566000,3.00976000,2,1,1
202400000495,2024-05-01 17:25:00,Rennes,35238,48.10935000, -1.67284000,1,1,3
202400000506,2024-05-01 09:20:00,Toulouse,31555,43.56836000,1.41692000,1,2,5
202400000518,2024-05-01 03:15:00,Marseille 13,13208,43.28096000,5.38931000,5,1,3
202400000521,2024-05-01 00:30:00,Paris 75,75118,48.89770000,2.33756100,5,2,3
202400000523,2024-05-01 06:50:00,Paris 75,75116,48.84828000,2.26733300,2,1,6
202400000526,2024-05-01 17:59:00,Paris 75,75111,48.86884200,2.37630600,1,1,3
202400000528,2024-05-01 22:10:00,Paris 75,75107,48.86223000,2.30195000,3,3,3
202400000529,2024-04-30 21:10:00,Paris 75,75115,48.84595500,2.29871900,5,2,6
202400000536,2024-09-18 13:45:00,Marseille 13,13211,43.28334000,5.43366000,1,8,1
202400000538,2024-09-18 07:10:00,Marseille 13,13213,43.32658255,5.42228132,2,1,2
202400000563,2024-09-18 14:20:00,Paris 75,75119,48.88046600,2.37959100,1,1,6
202400000566,2024-09-18 14:10:00,Paris 75,75119,48.88323848,2.38790613,1,1,6
202400000569,2024-09-17 22:40:00,Paris 75,75118,48.89936000,2.35873000,5,1,2
202400000572,2024-09-18 19:10:00,Paris 75,75116,48.87417500,2.24488200,1,1,2
202400000578,2024-09-18 12:00:00,Paris 75,75116,48.85844200,2.26076400,1,1,1
202400000582,2024-09-18 10:30:00,Paris 75,75116,48.85557900,2.27029200,1,1,3
202400000586,2024-09-18 08:16:00,Paris 75,75115,48.84655400,2.28613800,1,1,6
202400000591,2024-09-17 16:15:00,Paris 75,75114,48.83502100,2.32400800,1,1,6
202400000651,2024-05-01 04:57:00,Lyon 69,69382,45.73468000,4.81870000,5,1,5
202400000653,2024-08-13 17:15:00,Rennes,35238,48.10906402, -1.71774179,1,1,5
202400000655,2024-08-13 15:50:00,Rennes,35238,48.11020240, -1.68621629,1,1,3
202400000658,2024-08-13 15:35:00,Rennes,35238,48.12871000, -1.68767000,1,1,3
202400000664,2024-08-13 07:35:00,Rennes,35238,48.10601000, -1.66645000,1,2,3
202400000670,2024-04-30 19:17:00,Lyon 69,69387,45.74776000,4.83872000,1,1,6
202400000672,2024-04-30 14:35:00,Lyon 69,69383,45.75346000,4.89183000,1,1,6
202400000674,2024-08-13 19:45:00,Toulouse,31555,43.57607592,1.45113140,1,1,3
202400000676,2024-08-12 20:55:00,Toulouse,31555,43.57800000,1.44743000,2,1,3
202400000684,2024-08-13 10:32:00,Marseille 13,13206,43.29029000,5.37606000,1,1,1
202400000685,2024-08-13 08:30:00,Marseille 13,13209,43.25950000,5.41426000,1,1,1
202400000689,2024-08-13 09:20:00,Marseille 13,13216,43.36256052,5.31886038,1,1,3
202400000700,2024-08-13 10:15:00,Paris 75,75115,48.83142400,2.28285400,1,1,2
202400000702,2024-08-12 10:15:00,Paris 75,75118,48.90084100,2.34127500,1,1,4
202400000704,2024-08-12 03:12:00,Paris 75,75118,48.89519100,2.34658600,5,1,6
202400000707,2024-08-12 15:15:00,Paris 75,75120,48.86666400,2.39713600,1,1,3
202400000710,2024-08-13 19:30:00,Paris 75,75118,48.89942300,2.34427200,1,1,3
202400000712,2024-08-13 17:20:00,Paris 75,75117,48.88312100,2.28741400,1,1,3
202400000714,2024-08-13 08:45:00,Paris 75,75117,48.88452100,2.28703300,1,8,3
202400000716,2024-08-13 14:41:00,Paris 75,75113,48.82135500,2.36840300,1,1,6
202400000718,2024-08-13 13:20:00,Paris 75,75112,48.85160400,2.37485900,1,1,6
202400000726,2024-04-30 10:10:00,Lille,59350,50.64480000,3.06044000,1,1,6
202400000751,2024-04-30 08:20:00,Rennes,35238,48.09033378, -1.62983090,1,1,6
202400000759,2024-04-30 17:46:00,Toulouse,31555,43.56463000,1.40180000,1,1,6
202400000761,2024-04-29 02:20:00,Toulouse,31555,43.61358000,1.45082000,5,2,2
202400000786,2024-04-30 19:05:00,Marseille 13,13211,43.28390000,5.46670000,1,1,3
202400000788,2024-04-30 20:15:00,Marseille 13,13216,43.36259000,5.33607000,1,1,2
202400000790,2024-04-30 16:00:00,Marseille 13,13213,43.34431386,5.44326097,1,1,3
202400000791,2024-04-30 07:06:00,Marseille 13,13211,43.29607000,5.48649000,1,1,5
202400000811,2024-04-30 16:10:00,Paris 75,75112,48.82764600,2.39365300,1,1,3
202400000812,2024-04-30 14:00:00,Paris 75,75116,48.87388971,2.27520669,1,1,3
202400000814,2024-04-30 04:30:00,Paris 75,75112,48.82781600,2.39498400,5,1,3
202400000815,2024-04-30 01:50:00,Paris 75,75105,48.84165500,2.35198100,5,1,3
202400000817,2024-04-30 17:03:00,Paris 75,75120,48.86497600,2.39735300,1,1,6
